"hip","proper","ra","dec","mag","absmag","t_eff","con","constellations","const_name"
96275,,19.57636,19.773403,5,-1.146,11464,"Vul",0,
96288,,19.578127,42.412509,5.34,-0.896,8815,"Cyg",0,
96297,,19.57954,63.434171,6.47,0.332,4280,"Dra",0,
96302,,19.580813,29.462954,5.39,-0.778,5965,"Cyg",0,
96316,,19.583676,52.502018,6.39,1.267,4625,"Cyg",0,
96327,,19.585349,-10.560444,5.12,-0.615,4625,"Aql",1,"Aquila"
96341,,19.586942,-48.099202,4.88,-0.398,4672,"Tel",0,
96351,,19.590314,2.913605,6.37,3.361,6663,"Aql",0,
96356,,19.591613,-7.460283,6.32,0.972,4622,"Aql",0,
96365,,19.592628,-12.253114,6.27,1.211,4684,"Sgr",0,
96387,,19.596751,36.944539,6.03,-0.304,11099,"Cyg",0,
96392,,19.597427,-2.455736,6.99,2.776,6273,"Aql",1,"Aquila"
96396,,19.598874,50.238618,6.47,0.364,4785,"Cyg",0,
96406,,19.600459,-24.719081,5.64,0.863,7858,"Sgr",1,"Sagittarius"
96417,,19.60232,22.585763,6.33,-0.228,10589,"Vul",0,
96428,,19.604357,14.39107,6.37,0.991,4764,"Aql",0,
96440,,19.607243,-18.852921,6.13,1.68,7359,"Sgr",1,"Sagittarius"
96441,,19.607372,50.221103,4.49,3.174,6752,"Cyg",2,"Cygnus"
96459,,19.610555,44.694936,5.17,2.115,4993,"Cyg",0,
96465,,19.611786,-24.883623,4.59,0.768,10970,"Sgr",3,"Sagittarius"
96468,,19.612022,-1.286601,4.36,-1.034,11073,"Aql",2,"Aquila"
96481,,19.61457,11.273206,5.98,-1.871,5094,"Aql",0,
96483,,19.614847,-7.027477,4.93,-3.631,10314,"Aql",2,"Aquila"
96496,,19.617595,-18.231052,5.66,0.232,4427,"Sgr",0,
96503,,19.619338,29.3337,6.43,-1.446,11291,"Cyg",0,
96516,,19.621498,16.462802,5.67,-0.171,4836,"Sge",0,
96536,,19.626227,-14.301801,5.46,3.034,6281,"Sgr",0,
96546,,19.628005,35.022536,6.44,-2.651,3874,"Cyg",0,
96556,,19.62981,-4.64764,5.45,2.914,6595,"Aql",1,"Aquila"
96572,,19.632417,49.284416,6.47,0.735,4869,"Cyg",0,
96601,,19.638275,20.783391,6.5,0.362,4779,"Vul",0,
96607,,19.640538,-57.983341,6.19,0.134,4902,"Pav",0,
96620,,19.644769,54.973793,5.89,2.832,6361,"Cyg",0,
96630,,19.646942,3.381522,6.36,-13.64,9517,"Aql",0,
96665,,19.653234,5.397773,5.18,-1.714,9546,"Aql",2,"Aquila"
96683,,19.656279,30.153321,4.68,0.121,4906,"Cyg",0,
96688,,19.657038,16.571121,6.37,-13.63,,"Sge",0,
96693,,19.657356,42.818278,5.41,-1.095,10680,"Cyg",0,
96706,,19.659593,45.957439,6.25,0.741,4987,"Cyg",0,
96721,,19.661606,-45.27855,6.24,0.999,7255,"Tel",0,
96724,,19.662478,33.978938,6.1,0.221,8505,"Cyg",0,
96729,,19.663739,-23.4277,6.33,1.358,9094,"Sgr",0,
96734,,19.664486,-66.685505,6.37,1.299,9059,"Pav",0,
96757,"Sham",19.668275,18.01389,4.39,-1.186,5346,"Sge",4,"Sagitta"
